case_id,dimension,value_label,scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
default,default,default,replayed_callbacks,307,thetashield,240,500000,909,3270560000000000000,-1938843847697006634959,-1935573287697006634959,13533453455334533200,641030000000000000,2629530000000000000,196969696969696969,293103448275862068,53,700418728587742672,566666666666666666,2700,706896551724137931,1008,,519636452447121340,199973,3,29,0,29,0
default,default,default,replayed_callbacks,401,thetashield,240,500000,841,3031705000000000000,-1599690990576296873437,-1596659285576296873437,12944116069441159400,706829000000000000,2324876000000000000,169014084507042253,331360946745562130,73,679757085020242914,520833333333333333,4556,668639053254437869,934,,288978099811988339,199973,3,29,0,29,0
default,default,default,replayed_callbacks,503,thetashield,240,500000,744,2629693000000000000,-1408098700385646655641,-1405469007385646655641,12151992461519923400,716570000000000000,1913123000000000000,168831168831168831,392638036809815950,86,601705756929637526,466666666666666666,3588,607361963190184049,815,,334230107412631762,199973,3,29,0,29,0
default,default,default,out_of_order_callbacks,101,thetashield,240,500000,676,2485140000000000000,-1444575399962349452273,-1442090259962349452273,12817824738178246100,756037000000000000,1729103000000000000,189189189189189189,674698795180722891,84,335110746513535684,283333333333333333,7562,325301204819277108,700,,126463061768199303,199973,3,14,1,14,0
default,default,default,out_of_order_callbacks,211,thetashield,240,500000,690,2530995000000000000,-1585100034547864341748,-1582569039547864341748,13098504090985039600,611966000000000000,1919029000000000000,84507042253521126,597633136094674556,67,412092283214001591,308333333333333333,7148,402366863905325443,744,,100749002448576109,199973,3,14,1,14,0
default,default,default,out_of_order_callbacks,307,thetashield,240,500000,675,2525052000000000000,-1552534394456658061865,-1550009342456658061865,12977109129771090000,699316000000000000,1825736000000000000,133333333333333333,587878787878787878,83,411233307148468185,325000000000000000,8698,412121212121212121,718,,262729451903845598,199973,3,14,1,14,0
default,default,default,out_of_order_callbacks,401,thetashield,240,500000,722,2533746000000000000,-1515026030088871493991,-1512492284088871493991,13154995461549953300,594337000000000000,1939409000000000000,161764705882352941,529069767441860465,68,459042342698852394,383333333333333333,9324,470930232558139534,770,,333388108049696034,199973,3,14,1,14,0
default,default,default,out_of_order_callbacks,503,thetashield,240,500000,693,2507433000000000000,-1208106652016591929759,-1205599219016591929759,13034807120348069900,591157000000000000,1916276000000000000,92105263157894736,585365853658536585,81,405712050078247261,312500000000000000,8648,414634146341463414,756,,231464248915760777,199973,3,14,1,14,0
default,default,default,fee_oscillation,101,thetashield,240,500000,500,1811000000000000000,-9583188992621483584,-7772188992621483584,8715646837156467500,1142000000000000000,669000000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,199973,3,29,0,0,0
default,default,default,fee_oscillation,211,thetashield,240,500000,500,1791500000000000000,-30533105536693599506,-28741605536693599506,8070351260703511800,1201000000000000000,590500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,199973,3,29,0,0,0
