mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,alternating_toxicity,401,coverage_thetashield,450000,500,1797000000000000000,8916104226296832874,12309563123095630000,0,1000000000000000000,3594000000000000000000,3594000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,22,116996239030505653
inelastic,alternating_toxicity,503,thetashield,500000,523,1822594000000000000,-18751654074808057179,12407949324079492000,40000000000000000,945454545454545454,3456000000000000000000,3456000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,alternating_toxicity,503,coverage_thetashield,450000,524,1824215000000000000,-18750033074808057179,12407949324079492000,40000000000000000,945454545454545454,3456000000000000000000,3456000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,112521844660194186
inelastic,high_volatility_uninformed,101,thetashield,500000,500,1835500000000000000,-6877930896764842140,3541269135412691000,0,,3671000000000000000000,3671000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,high_volatility_uninformed,101,coverage_thetashield,450000,500,1835500000000000000,-6877930896764842140,3541269135412691000,0,,3671000000000000000000,3671000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,18,534178041543026759
inelastic,high_volatility_uninformed,211,thetashield,500000,500,1715000000000000000,4838310221706952876,3316305263163052300,0,,3430000000000000000000,3430000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,high_volatility_uninformed,211,coverage_thetashield,450000,500,1715000000000000000,4838310221706952876,3316305263163052300,0,,3430000000000000000000,3430000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,19,1624837500000000162
inelastic,high_volatility_uninformed,307,thetashield,500000,500,1799500000000000000,806076486997930594,3822528428225283900,0,,3599000000000000000000,3599000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,high_volatility_uninformed,307,coverage_thetashield,450000,500,1799500000000000000,806076486997930594,3822528428225283900,0,,3599000000000000000000,3599000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,20,264962794432548206
inelastic,high_volatility_uninformed,401,thetashield,500000,500,1851500000000000000,3143852978858659902,3691556836915568000,0,,3703000000000000000000,3703000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
