scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
persistent_informed_selling,101,dead_band_no_persistence,240,350000,911,3370084000000000000,-928020946798084034472,-924650862798084034472,14011493050114929100,596917000000000000,2773167000000000000,158730158730158730,129943502824858757,25,884601113172541743,683333333333333333,3250,870056497175141242,,1023,480995583696146874,80253,3,29,0,0,0
persistent_informed_selling,101,thetashield,240,500000,967,3599045000000000000,-928020946798084034472,-924421901798084034472,14011493050114929100,618479000000000000,2980566000000000000,126984126984126984,293785310734463276,58,720222634508348794,554166666666666666,2934,706214689265536723,,1094,496810112885668443,80253,3,29,0,0,0
persistent_informed_selling,211,fixed_fee,240,0,500,1703500000000000000,-665457841053154746697,-663754341053154746697,12426331494263313700,504000000000000000,1199500000000000000,0,1000000000000000000,,0,0,0,0,,500,0,80253,,0,0,0,0
persistent_informed_selling,211,volatility_only,240,200000,862,2942639000000000000,-665457841053154746697,-662515202053154746697,12426331494263313700,740240000000000000,2202399000000000000,547945205479452054,53892215568862275,10,943726552730304293,825000000000000000,2916,0,,918,1000000000000000000,80253,3,30,0,0,0
persistent_informed_selling,211,raw_positive_markout,240,100000,843,2878601000000000000,-665457841053154746697,-662579240053154746697,12426331494263313700,636181000000000000,2242420000000000000,397260273972602739,35928143712574850,6,965819091288036681,791666666666666666,1948,964071856287425149,,935,717329390632370100,80253,3,30,0,0,0
persistent_informed_selling,211,dead_band_no_persistence,240,350000,763,2597467000000000000,-665457841053154746697,-662860374053154746697,12426331494263313700,617976000000000000,1979491000000000000,260273972602739726,215568862275449101,34,784910379324718632,625000000000000000,4784,784431137724550898,,824,360115145146722763,80253,3,30,0,0,0
persistent_informed_selling,211,thetashield,240,500000,802,2759423000000000000,-665457841053154746697,-662698418053154746697,12426331494263313700,620332000000000000,2139091000000000000,219178082191780821,341317365269461077,68,678616090037515631,525000000000000000,3390,658682634730538922,,880,415375253534061527,80253,3,30,0,0,0
persistent_informed_selling,307,fixed_fee,240,0,500,1810500000000000000,-918501767733925328493,-916691267733925328493,13814969678149695400,496500000000000000,1314000000000000000,0,1000000000000000000,,0,0,0,0,,500,0,80253,,0,0,0,0
persistent_informed_selling,307,volatility_only,240,200000,841,3068404000000000000,-918501767733925328493,-915433363733925328493,13814969678149695400,700548000000000000,2367856000000000000,476923076923076923,45714285714285714,10,961948249619482496,825000000000000000,2884,0,,896,1000000000000000000,80253,3,30,0,0,0
persistent_informed_selling,307,raw_positive_markout,240,100000,859,3140024000000000000,-918501767733925328493,-915361743733925328493,13814969678149695400,622453000000000000,2517571000000000000,369230769230769230,11428571428571428,3,992009132420091324,820833333333333333,3202,988571428571428571,,947,717303005592069344,80253,3,29,0,0,0
persistent_informed_selling,307,dead_band_no_persistence,240,350000,815,3004632000000000000,-918501767733925328493,-915497135733925328493,13814969678149695400,614053000000000000,2390579000000000000,215384615384615384,177142857142857142,38,848554033485540334,658333333333333333,4906,822857142857142857,,889,351710665680308329,80253,3,29,0,0,0
persistent_informed_selling,307,thetashield,240,500000,840,3060371000000000000,-918501767733925328493,-915441396733925328493,13814969678149695400,606584000000000000,2453787000000000000,153846153846153846,342857142857142857,72,662861491628614916,520833333333333333,3576,657142857142857142,,925,256338793074187355,80253,3,29,0,0,0
persistent_informed_selling,401,fixed_fee,240,0,500,1801500000000000000,-821623823931582272459,-819822323931582272459,12778864447788643200,574000000000000000,1227500000000000000,0,1000000000000000000,,0,0,0,0,,500,0,80253,,0,0,0,0
persistent_informed_selling,401,volatility_only,240,200000,850,3045367000000000000,-821623823931582272459,-818578456931582272459,12778864447788643200,828955000000000000,2216412000000000000,507042253521126760,41420118343195266,10,949898167006109979,825000000000000000,2602,0,,907,1000000000000000000,80253,3,30,0,0,0
persistent_informed_selling,401,raw_positive_markout,240,100000,838,2986399000000000000,-821623823931582272459,-818637424931582272459,12778864447788643200,734557000000000000,2251842000000000000,563380281690140845,23668639053254437,5,970264765784114052,854166666666666666,2422,976331360946745562,,922,677615676280296168,80253,3,29,0,0,0
persistent_informed_selling,401,dead_band_no_persistence,240,350000,767,2740531000000000000,-821623823931582272459,-818883292931582272459,12778864447788643200,695333000000000000,2045198000000000000,225352112676056338,272189349112426035,31,726272912423625254,579166666666666666,3260,727810650887573964,,834,325450305767251865,80253,3,29,0,0,0
persistent_informed_selling,401,thetashield,240,500000,779,2785195000000000000,-821623823931582272459,-818838628931582272459,12778864447788643200,715367000000000000,2069828000000000000,225352112676056338,408284023668639053,70,589002036659877800,483333333333333333,2838,591715976331360946,,844,204651516201769127,80253,3,29,0,0,0
persistent_informed_selling,503,fixed_fee,240,0,500,1750000000000000000,-846231353392763983788,-844481353392763983788,12766465067664649400,519000000000000000,1231000000000000000,0,1000000000000000000,,0,0,0,0,,500,0,80253,,0,0,0,0
persistent_informed_selling,503,volatility_only,240,200000,857,2975362000000000000,-846231353392763983788,-843255991392763983788,12766465067664649400,718172000000000000,2257190000000000000,514285714285714285,47058823529411764,8,955320877335499593,825000000000000000,3166,0,,917,1000000000000000000,80253,3,30,0,0,0
persistent_informed_selling,503,raw_positive_markout,240,100000,842,2936939000000000000,-846231353392763983788,-843294414392763983788,12766465067664649400,604925000000000000,2332014000000000000,185714285714285714,52941176470588235,9,949228269699431356,725000000000000000,1679,947058823529411764,,946,717328855431243869,80253,3,30,0,0,0
persistent_informed_selling,503,dead_band_no_persistence,240,350000,823,2883962000000000000,-846231353392763983788,-843347391392763983788,12766465067664649400,603955000000000000,2280007000000000000,171428571428571428,141176470588235294,25,867587327376116978,658333333333333333,2267,858823529411764705,,921,453840129501422929,80253,3,30,0,0,0
persistent_informed_selling,503,thetashield,240,500000,858,2987287000000000000,-846231353392763983788,-843244066392763983788,12766465067664649400,604200000000000000,2383087000000000000,128571428571428571,311764705882352941,58,679528838342810722,525000000000000000,1044,688235294117647058,,971,409381450623348624,80253,3,30,0,0,0
alternating_toxicity,101,fixed_fee,240,0,500,1812000000000000000,-11993082621384828386,-10181082621384828386,12625460016254598900,582500000000000000,1229500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,,0,0,0,0
alternating_toxicity,101,volatility_only,240,200000,875,3198485000000000000,-11993082621384828386,-8794597621384828386,12625460016254598900,905036000000000000,2293449000000000000,594936708860759493,62111801242236024,5,941439609597397315,825000000000000000,2816,0,966,892,1000000000000000000,80253,3,30,0,0,0
alternating_toxicity,101,raw_positive_markout,240,100000,798,2909611000000000000,-11993082621384828386,-9083471621384828386,12625460016254598900,829603000000000000,2080008000000000000,569620253164556962,111801242236024844,8,886132574217161447,783333333333333333,11232,478260869565217391,830,861,617117226616399514,80253,3,29,0,0,0
alternating_toxicity,101,dead_band_no_persistence,240,350000,612,2243289000000000000,-11993082621384828386,-9749793621384828386,12625460016254598900,708373000000000000,1534916000000000000,316455696202531645,583850931677018633,26,428629524196827978,383333333333333333,7940,298136645962732919,636,604,294631879337526411,80253,3,29,0,0,0
alternating_toxicity,101,thetashield,240,500000,500,1812000000000000000,-11993082621384828386,-10181082621384828386,12625460016254598900,582500000000000000,1229500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,3,29,0,0,0
alternating_toxicity,211,fixed_fee,240,0,500,1924500000000000000,3155676648225554633,5080176648225554633,13502536935025368000,623500000000000000,1301000000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,,0,0,0,0
alternating_toxicity,211,volatility_only,240,200000,864,3313466000000000000,3155676648225554633,6469142648225554633,13502536935025368000,902615000000000000,2410851000000000000,538461538461538461,37037037037037037,4,961568024596464258,825000000000000000,2488,0,922,930,1000000000000000000,80253,3,30,0,0,0
alternating_toxicity,211,raw_positive_markout,240,100000,804,3087747000000000000,3155676648225554633,6243423648225554633,13502536935025368000,861085000000000000,2226662000000000000,512820512820512820,117283950617283950,9,881629515757109915,762500000000000000,7484,524691358024691358,854,854,631518827953717545,80253,3,29,0,0,0
