split,case_id,dead_band_k_wad,required_toxic_epochs,persistence_window,maximum_increase_pips,maximum_decrease_pips,challenge_benign_false_positive_rate_wad,fpr_reduction_mean_wad,fpr_reduction_ci95_low_wad,fpr_reduction_ci95_high_wad,oscillation_reduction_mean_pips,oscillation_reduction_ci95_low_pips,oscillation_reduction_ci95_high_pips,raw_toxic_premium_coverage_wad,thetashield_toxic_premium_coverage_wad,retained_coverage_ratio_wad,h5_status,training_guardrails_met
training,h5__k_1p5__p_3_of_5__up_750__down_150,1500000000000000000,3,5,750,150,0,250585866317357152,204141250607013335,297030482027700969,2348,1376,3320,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_750__down_200,1500000000000000000,3,5,750,200,0,272552274418602825,229686729768135081,315417819069070569,2299,1327,3271,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_750__down_250,1500000000000000000,3,5,750,250,0,284191136632770747,243069841928793668,325312431336747826,2273,1299,3247,952108674933560254,343609429464807977,360893077136163706,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_1000__down_50,1500000000000000000,3,5,1000,50,0,171150004669101913,114538367952859099,227761641385344727,2805,1851,3759,952108674933560254,497218346122500761,522228564042017046,pass,False
training,h5__k_1p5__p_3_of_5__up_1000__down_100,1500000000000000000,3,5,1000,100,0,210782296966813764,152914667565986749,268649926367640779,2437,1459,3415,952108674933560254,436985485417920637,458965974076871235,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_1000__down_150,1500000000000000000,3,5,1000,150,0,250585866317357152,204141250607013335,297030482027700969,2348,1376,3320,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_1000__down_200,1500000000000000000,3,5,1000,200,0,272552274418602825,229686729768135081,315417819069070569,2299,1327,3271,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_1000__down_250,1500000000000000000,3,5,1000,250,0,284191136632770747,243069841928793668,325312431336747826,2273,1299,3247,952108674933560254,343609429464807977,360893077136163706,inconclusive,False
holdout,phase6_v1_legacy,1500000000000000000,3,5,1000,500,0,377328150974794928,321872641530160964,432783660419428892,3979,2502,5456,934286635402631497,36118268456114816,38658659010518353,fail,False
holdout,h5__k_1__p_3_of_5__up_500__down_100,1000000000000000000,3,5,500,100,33333333333333333,207879499656877238,134253308514776621,281505690798977855,2216,809,3623,934286635402631497,557730089624049449,596958222980140635,pass,False
